epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.50035,2.02814,5.64725,1.45809,0.00137,0.17778,0.13219,0.07733,1.58779,4.63868,1.1212,0.00015554,0.00015554,0.00015554
2,5.87291,1.62259,4.24582,1.18305,0.00104,0.15556,0.07898,0.03575,1.16314,4.48191,0.97525,0.000318203,0.000318203,0.000318203
3,8.09861,1.43322,3.86905,1.10542,0.00101,0.07778,0.05362,0.04086,1.19106,4.38254,1.02907,0.000476741,0.000476741,0.000476741
4,10.2909,1.34809,3.23884,1.10435,0.00241,0.5702,0.5136,0.38815,1.00116,3.81287,0.95735,0.000631155,0.000631155,0.000631155
5,12.4483,1.18673,2.62989,1.01506,0.00258,0.7346,0.64783,0.51265,0.93485,3.55618,0.93562,0.000781444,0.000781444,0.000781444
6,14.567,1.20562,2.47414,1.02646,0.98374,0.17061,0.78865,0.57292,1.03063,2.8531,0.95543,0.000927609,0.000927609,0.000927609
7,16.6981,1.25315,2.34518,1.03737,0.85194,0.52024,0.82072,0.52911,1.18044,2.09702,0.98716,0.00102851,0.00102851,0.00102851
8,18.8473,1.13625,2.11862,1.00898,0.76918,0.77793,0.8837,0.6064,0.97009,1.43624,0.93101,0.00101476,0.00101476,0.00101476
9,20.9942,1.1875,2.07987,1.00543,0.86738,0.84931,0.87971,0.6036,0.98671,1.26795,0.93786,0.00100101,0.00100101,0.00100101
10,23.1911,1.08544,2.05295,0.99427,0.77507,0.94698,0.92653,0.68257,0.95659,0.98554,0.91903,0.000987262,0.000987262,0.000987262
11,25.3327,0.96209,1.70868,0.92904,0.84462,0.84494,0.93174,0.6841,0.93787,1.25789,0.92406,0.000973514,0.000973514,0.000973514
12,27.491,1.01005,1.69424,0.9553,0.84251,0.92062,0.90835,0.65931,0.95094,0.9648,0.93219,0.000959765,0.000959765,0.000959765
13,29.7644,0.9796,1.63086,0.94449,0.82674,0.8719,0.87926,0.64837,0.98894,0.87218,0.94021,0.000946016,0.000946016,0.000946016
14,31.9674,0.92501,1.6096,0.91767,0.83598,0.92726,0.9299,0.70916,0.84057,0.80206,0.89079,0.000932268,0.000932268,0.000932268
15,34.1521,0.97417,1.52977,0.93112,0.82109,0.96178,0.93962,0.7109,0.8607,0.75858,0.88983,0.000918519,0.000918519,0.000918519
16,36.2273,0.88499,1.39924,0.91524,0.86376,0.96397,0.93133,0.71307,0.76112,0.75753,0.86092,0.000904771,0.000904771,0.000904771
17,38.3443,0.88211,1.36385,0.91082,0.86357,0.92348,0.93378,0.74432,0.73014,0.78029,0.86128,0.000891022,0.000891022,0.000891022
18,40.5153,0.88511,1.30392,0.89958,0.86858,0.91792,0.94273,0.76247,0.71724,0.94578,0.8574,0.000877273,0.000877273,0.000877273
19,42.6086,0.87077,1.27717,0.88939,0.82969,0.94954,0.93943,0.74095,0.73611,0.91855,0.8646,0.000863525,0.000863525,0.000863525
20,44.7285,0.92573,1.2534,0.91191,0.84962,0.8973,0.93392,0.74371,0.75139,0.93322,0.86014,0.000849776,0.000849776,0.000849776
21,46.8255,0.83591,1.19268,0.88767,0.8708,0.93648,0.92887,0.73626,0.74165,0.75026,0.85455,0.000836027,0.000836027,0.000836027
22,48.9527,0.82609,1.14596,0.89689,0.84373,0.88712,0.92254,0.74643,0.66388,0.69821,0.83593,0.000822279,0.000822279,0.000822279
23,51.1098,0.79127,1.13507,0.881,0.85323,0.94559,0.92133,0.74618,0.72186,0.75232,0.86186,0.00080853,0.00080853,0.00080853
24,53.3274,0.83318,1.20621,0.8994,0.86639,0.96276,0.95401,0.76338,0.67427,0.70345,0.84354,0.000794782,0.000794782,0.000794782
25,55.4541,0.87291,1.15077,0.90339,0.86191,0.96845,0.94771,0.75087,0.72507,0.65905,0.86043,0.000781033,0.000781033,0.000781033
26,57.5668,0.78472,1.0723,0.86414,0.89481,0.96696,0.95005,0.78033,0.64776,0.74746,0.83649,0.000767284,0.000767284,0.000767284
27,59.6773,0.81782,1.0936,0.89208,0.87268,0.95731,0.95796,0.78278,0.6777,0.78838,0.84506,0.000753536,0.000753536,0.000753536
28,61.7991,0.73154,1.04248,0.86144,0.91473,0.9454,0.96301,0.78764,0.62846,0.60783,0.83441,0.000739787,0.000739787,0.000739787
29,63.9146,0.78945,1.01998,0.88803,0.86688,0.9759,0.95702,0.76617,0.71067,0.69772,0.85478,0.000726038,0.000726038,0.000726038
30,66.0596,0.82724,0.98397,0.88329,0.8579,0.95986,0.93519,0.75327,0.71869,0.64802,0.85253,0.00071229,0.00071229,0.00071229
31,68.1884,0.75925,0.97621,0.86892,0.86968,0.95412,0.93119,0.76926,0.61759,0.80359,0.84605,0.000698541,0.000698541,0.000698541
32,70.2972,0.72154,0.89136,0.87063,0.85991,0.97326,0.94389,0.76722,0.65549,0.71525,0.83751,0.000684793,0.000684793,0.000684793
33,72.4332,0.77359,0.9037,0.87712,0.89036,0.95892,0.93572,0.75139,0.69924,0.67614,0.85772,0.000671044,0.000671044,0.000671044
34,74.5382,0.71363,0.89895,0.88307,0.85538,0.95768,0.94554,0.75769,0.66753,0.71746,0.85379,0.000657295,0.000657295,0.000657295
35,76.6272,0.74676,0.91817,0.88315,0.8923,0.96977,0.94744,0.7752,0.68835,0.6611,0.86019,0.000643547,0.000643547,0.000643547
36,78.7631,0.80586,0.89748,0.88589,0.86744,0.95174,0.95325,0.78568,0.62233,0.65234,0.83814,0.000629798,0.000629798,0.000629798
37,80.8467,0.74162,0.87078,0.87529,0.87714,0.95008,0.93503,0.77221,0.64667,0.73592,0.83885,0.000616049,0.000616049,0.000616049
38,83.0083,0.71317,0.81009,0.85194,0.88198,0.98077,0.94751,0.80057,0.59708,0.64342,0.838,0.000602301,0.000602301,0.000602301
39,85.1473,0.75513,0.85031,0.89293,0.89469,0.96996,0.94259,0.77164,0.65801,0.71452,0.84351,0.000588552,0.000588552,0.000588552
40,87.2117,0.66159,0.79532,0.86267,0.89408,0.97881,0.95065,0.77747,0.638,0.60306,0.84904,0.000574804,0.000574804,0.000574804
41,89.3444,0.71126,0.78396,0.85565,0.90001,0.96318,0.95445,0.74888,0.7044,0.63235,0.86349,0.000561055,0.000561055,0.000561055
42,91.4474,0.72668,0.79862,0.86878,0.89083,0.97058,0.95371,0.7759,0.65831,0.73457,0.84942,0.000547306,0.000547306,0.000547306
43,93.5785,0.6855,0.75561,0.83113,0.8933,0.97514,0.96318,0.81163,0.61395,0.61911,0.84772,0.000533558,0.000533558,0.000533558
44,95.6705,0.65531,0.76046,0.85184,0.89554,0.96702,0.96261,0.82203,0.57447,0.64493,0.82588,0.000519809,0.000519809,0.000519809
45,97.7576,0.71128,0.77679,0.86869,0.87921,0.97097,0.96269,0.79783,0.60734,0.62684,0.83474,0.00050606,0.00050606,0.00050606
46,99.892,0.65198,0.7243,0.85025,0.89029,0.99004,0.96615,0.82589,0.53554,0.59726,0.81878,0.000492312,0.000492312,0.000492312
47,102.003,0.64942,0.76434,0.8429,0.88307,0.95589,0.95796,0.80553,0.55201,0.65918,0.82123,0.000478563,0.000478563,0.000478563
48,104.108,0.64378,0.71352,0.84176,0.92864,0.94573,0.96629,0.8319,0.53142,0.5729,0.81961,0.000464815,0.000464815,0.000464815
49,106.229,0.61197,0.70508,0.8404,0.94595,0.92397,0.96284,0.82961,0.54036,0.57751,0.81757,0.000451066,0.000451066,0.000451066
50,108.35,0.61595,0.66854,0.82787,0.94388,0.9315,0.97267,0.83075,0.55972,0.57573,0.82542,0.000437317,0.000437317,0.000437317
51,110.451,0.58825,0.68191,0.8293,0.90957,0.96212,0.9672,0.82524,0.53234,0.61188,0.8179,0.000423569,0.000423569,0.000423569
52,112.569,0.6195,0.67422,0.84601,0.91395,0.98105,0.96675,0.80546,0.57313,0.54602,0.83061,0.00040982,0.00040982,0.00040982
53,114.647,0.57569,0.64437,0.83792,0.92236,0.96434,0.96857,0.83469,0.54813,0.55462,0.82446,0.000396071,0.000396071,0.000396071
54,116.808,0.56593,0.66012,0.82784,0.90283,0.93047,0.96912,0.78935,0.61735,0.61104,0.84083,0.000382323,0.000382323,0.000382323
55,118.888,0.57005,0.63163,0.845,0.91868,0.93464,0.97546,0.83202,0.541,0.57171,0.82434,0.000368574,0.000368574,0.000368574
56,121.019,0.57481,0.63349,0.83178,0.92873,0.92553,0.97165,0.83079,0.52212,0.60301,0.82198,0.000354826,0.000354826,0.000354826
57,123.128,0.59736,0.64994,0.83146,0.90584,0.93568,0.96822,0.83114,0.53069,0.612,0.82052,0.000341077,0.000341077,0.000341077
58,125.243,0.61411,0.66534,0.84457,0.89616,0.95369,0.96764,0.83254,0.51267,0.68247,0.8158,0.000327328,0.000327328,0.000327328
